  PID TTY           TIME CMD
    1 ??         6:51.29 /sbin/launchd
   65 ??         0:30.26 /usr/sbin/syslogd
   66 ??         0:39.41 /usr/libexec/UserEventAgent (System)
   68 ??         8:54.49 /usr/local/bin/warsaw/core
   70 ??         0:05.19 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
   71 ??         0:16.01 /usr/libexec/kextd
   72 ??         1:35.22 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
   74 ??         0:42.37 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
   77 ??         0:06.91 /System/Library/CoreServices/appleeventsd --server
   78 ??         0:21.46 /usr/sbin/systemstats --daemon
   80 ??         0:22.11 /usr/libexec/configd
   81 ??         1:11.61 /System/Library/CoreServices/powerd.bundle/powerd
   85 ??         1:22.71 /usr/libexec/logd
   86 ??         0:00.02 /usr/libexec/keybagd -t 15
   92 ??         0:03.43 /usr/libexec/warmd
   93 ??         1:56.53 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
   94 ??         0:00.23 /System/Library/CoreServices/iconservicesd
   95 ??         0:00.23 /System/Library/CoreServices/iconservicesagent
   96 ??         0:09.08 /usr/libexec/diskarbitrationd
   97 ??         0:12.60 /System/Library/CoreServices/Installer Progress.app/Contents/MacOS/Installer Progress --showProgress
   99 ??         0:01.50 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper -launchd
  100 ??         1:29.13 /usr/libexec/coreduetd
  103 ??         1:03.11 /usr/libexec/opendirectoryd
  105 ??         0:27.96 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  106 ??         0:04.39 /usr/sbin/httpd -D FOREGROUND
  107 ??         0:04.97 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbstated
  108 ??         0:40.49 /System/Library/CoreServices/launchservicesd
  109 ??         0:01.83 /usr/libexec/timed
  110 ??         0:48.76 /usr/sbin/securityd -i
  111 ??         0:00.38 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
  113 ??         0:55.93 /usr/libexec/locationd
  115 ??         0:00.03 autofsd
  116 ??         0:00.44 /usr/libexec/displaypolicyd -k 1
  118 ??         0:22.27 /usr/libexec/dasd
  121 ??         0:41.40 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
  122 ??         0:00.19 /System/Library/CoreServices/logind
  123 ??         0:04.01 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  124 ??         0:00.02 /usr/sbin/KernelEventAgent
  126 ??         0:03.38 /usr/sbin/bluetoothd
  127 ??        15:37.38 /usr/libexec/hidd
  128 ??         0:00.72 /usr/libexec/corebrightnessd --launchd
  129 ??         0:03.44 /usr/libexec/AirPlayXPCHelper
  130 ??         1:25.49 /usr/sbin/notifyd
  131 ??         0:12.86 /usr/sbin/distnoted daemon
  132 ??         0:01.51 aslmanager
  133 ??         0:09.04 /usr/libexec/taskgated -s
  134 ??         0:17.69 /usr/sbin/cfprefsd daemon
  136 ??         0:08.22 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  137 ??         3:12.01 /usr/libexec/sandboxd
  138 ??         0:16.83 /System/Library/CoreServices/coreservicesd
  147 ??         0:00.02 /System/Library/Frameworks/PCSC.framework/Versions/A/XPCServices/com.apple.ctkpcscd.xpc/Contents/MacOS/com.apple.ctkpcscd
  149 ??         0:00.03 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -s
  150 ??         1:06.67 /usr/libexec/airportd
  151 ??         1:06.96 /usr/sbin/coreaudiod
  152 ??         0:38.78 /usr/libexec/trustd
  153 ??         0:01.23 /usr/libexec/nehelper
  157 ??         0:05.23 /usr/libexec/mobileassetd
  162 ??         0:06.24 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
  229 ??         0:11.14 /usr/libexec/nsurlsessiond --privileged
  230 ??        81:45.76 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
  239 ??         0:00.16 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
  240 ??         0:46.65 /usr/sbin/mDNSResponder
  241 ??         0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  242 ??         0:08.64 /usr/sbin/mDNSResponderHelper
  243 ??         0:06.67 /usr/libexec/lsd runAsRoot
  244 ??         0:01.45 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
  245 ??         0:09.49 /usr/libexec/findmydeviced
  246 ??         0:28.83 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  248 ??         0:00.17 /usr/libexec/apfsd
  249 ??         0:07.72 /usr/libexec/usbd
  251 ??         0:00.12 /System/Library/CryptoTokenKit/com.apple.ifdreader.slotd/Contents/MacOS/com.apple.ifdreader
  253 ??         0:24.03 /System/Library/PrivateFrameworks/PerformanceAnalysis.framework/Versions/A/XPCServices/com.apple.PerformanceAnalysis.animationperfd.xpc/Contents/MacOS/com.apple.PerformanceAnalysis.animationperfd
  255 ??         0:03.84 /usr/libexec/nsurlstoraged --privileged
  256 ??         0:10.63 /usr/libexec/sysmond
  257 ??         0:00.72 /usr/sbin/systemstats --logger-helper /var/db/systemstats
  259 ??         0:00.35 /Library/CoreMediaIO/Plug-Ins/DAL/AppleCamera.plugin/Contents/Resources/AppleCameraAssistant
  261 ??         0:14.97 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
  262 ??         0:09.17 /usr/libexec/syspolicyd
  263 ??         0:27.40 /usr/libexec/symptomsd
  266 ??         0:01.67 /usr/libexec/watchdogd
  270 ??         2:03.28 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  271 ??         0:00.44 /usr/libexec/diskmanagementd
  273 ??         0:00.17 /usr/libexec/thermald
  280 ??         0:05.68 /usr/libexec/secinitd
  281 ??         0:00.15 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
  282 ??         0:00.13 /usr/libexec/colorsync.displayservices
  289 ??         0:00.06 /usr/libexec/colorsyncd
  290 ??         0:01.38 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
  293 ??         0:00.03 /usr/libexec/bootinstalld
  298 ??         0:05.81 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  300 ??         0:00.11 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
  302 ??         0:00.09 /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper
  305 ??         0:00.13 /System/Library/PrivateFrameworks/SignpostNotification.framework/Versions/A/XPCServices/signpost_notificationd.xpc/Contents/MacOS/signpost_notificationd
  310 ??         0:00.30 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  311 ??         0:00.14 /usr/libexec/securityd_service
  312 ??         0:06.03 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  313 ??         0:05.72 /usr/libexec/secinitd
  314 ??         0:57.64 /usr/sbin/cfprefsd agent
  315 ??         0:36.76 /usr/libexec/UserEventAgent (Aqua)
  317 ??         1:05.80 /usr/sbin/distnoted agent
  319 ??         0:30.73 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  320 ??         0:06.41 /usr/libexec/lsd
  321 ??         0:00.30 /usr/sbin/cfprefsd agent
  322 ??         0:02.90 /usr/libexec/trustd --agent
  323 ??         1:31.47 /usr/libexec/trustd --agent
  325 ??         0:02.95 /usr/libexec/pboard
  327 ??         0:06.25 /System/Library/CoreServices/talagent
  328 ??         0:05.75 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd system
  329 ??         0:32.13 /usr/sbin/spindump
  332 ??         0:32.17 /usr/libexec/secd
  334 ??         0:00.87 /System/Library/CoreServices/SubmitDiagInfo server-init
  335 ??         3:28.44 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  338 ??         0:00.03 /System/Library/PrivateFrameworks/SystemAdministration.framework/XPCServices/writeconfig.xpc/Contents/MacOS/writeconfig
  339 ??         0:00.10 /System/Library/CoreServices/CrashReporterSupportHelper server-init
  340 ??         0:08.93 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
  341 ??         1:32.67 /usr/libexec/nsurlsessiond
  343 ??         5:07.99 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  344 ??        19:25.43 /usr/libexec/nsurlstoraged
  345 ??         0:01.25 /usr/sbin/WirelessRadioManagerd
  346 ??         0:26.33 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  347 ??         0:07.31 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  348 ??         0:05.10 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  349 ??         0:27.53 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  351 ??         0:01.23 /System/Library/PrivateFrameworks/CloudPhotoServices.framework/Versions/A/Frameworks/CloudPhotosConfigurationXPC.framework/Versions/A/XPCServices/com.apple.CloudPhotosConfiguration.xpc/Contents/MacOS/com.apple.CloudPhotosConfiguration
  352 ??         0:00.21 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
  354 ??         0:10.97 /usr/libexec/secinitd
  356 ??         0:00.48 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
  357 ??         0:03.29 /System/Library/Frameworks/AddressBook.framework/Executables/ContactsAccountsService
  358 ??         0:05.66 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
  360 ??         0:02.81 /usr/sbin/wirelessproxd
  361 ??         0:03.24 /System/Library/CoreServices/iconservicesagent
  363 ??         0:28.19 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  364 ??         0:09.81 /usr/sbin/usernoted
  366 ??         0:26.87 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  367 ??         0:05.89 /usr/libexec/captiveagent
  368 ??         0:27.83 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
  369 ??         0:12.39 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  370 ??         0:11.82 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  371 ??         0:14.87 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
  372 ??         0:04.29 /usr/libexec/networkserviceproxy
  373 ??         0:08.77 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -d
  374 ??         4:20.50 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
  375 ??         0:00.57 /usr/libexec/AssetCache/AssetCache
  377 ??         0:04.89 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  378 ??         0:00.10 /System/Library/CoreServices/APFSUserAgent
  379 ??         0:15.75 /usr/libexec/pkd
  381 ??         0:03.47 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  382 ??         0:00.42 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd
  385 ??         2:43.02 /System/Library/PrivateFrameworks/CalendarNotification.framework/Versions/A/XPCServices/CalNCService.xpc/Contents/MacOS/CalNCService
  386 ??         0:26.62 /System/Library/PrivateFrameworks/MessagesKit.framework/Resources/soagent.app/Contents/MacOS/soagent
  387 ??         0:06.32 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  388 ??         0:24.86 /usr/libexec/sharingd
  389 ??         0:00.62 /usr/sbin/systemsoundserverd
  390 ??         0:03.83 /usr/libexec/fmfd
  391 ??         0:00.88 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
  392 ??         0:02.70 /System/Library/PrivateFrameworks/CoreADI.framework/adid
  393 ??         0:09.11 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension
  394 ??         0:00.94 /usr/libexec/videosubscriptionsd
  395 ??         0:15.70 /System/Library/CoreServices/cloudphotosd.app/Contents/MacOS/cloudphotosd
  398 ??         0:00.18 /System/Library/CoreServices/NotificationCenter.app/Contents/XPCServices/com.apple.notificationcenterui.WeatherSummary.xpc/Contents/MacOS/com.apple.notificationcenterui.WeatherSummary
  399 ??         0:05.64 /System/Library/PrivateFrameworks/WeatherKit.framework/Versions/A/XPCServices/com.apple.WeatherKitService.xpc/Contents/MacOS/com.apple.WeatherKitService
  406 ??         0:33.28 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  407 ??         0:29.99 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
